name,address,type,leisure_ype,photo_reference,rating,place_id
Srilankan Safari,"2nd Floor, 295/1/2/1, Stanley Tilakaratne Mawatha, Nugegoda 10120, Sri Lanka","park, point_of_interest, establishment",look,AUacShgZu7pKh1cGT-nOjuejTj_DHMAJexToOo8zg3QbVxq7XHDom3Sat3hqtBeZvv1ZoNuWg5lVQdossBS9etGzJQXGES2RcV-9BXkbTDwnRJOfyY6UiZHtxCoyPis61vQutGD--EOp4bev90LCBNXfjdoh3c1IAXH3BwF6ucjmqzSVemxM,1,ChIJ96b3XcFb4joRXVe7bmcY1U4
Multi-Sanctuary Wildlife Safari Tours,"160 / 295, Lake Road, Wickramasinghepura, Battaramulla 44321, Sri Lanka","point_of_interest, establishment",look,AUacShgmOM1klT4nyXwVD5qtYg7ChegGVGYk5raeTPNA6ERaRdiF2Tfmog65qlWmXhVExuExiOsaEc60fnRsr-pmyYHR8fxikyYE7j9FYYY6pYc8CsfQde64d7LHei2hy1KO77QxuP_hf-QOeNTj7UauGO2on6ZGkYhQqs7FLVMl3TcZqioF,9,ChIJ77qVKcZQ4joRUdEzk0245as
Safari Cabs & Tours (Pvt) Ltd.,"No .675/B/5, Shopping complex, Negombo Rd, Wattala, Sri Lanka","shopping_mall, point_of_interest, establishment",look,AUacShgrNdieLSXqElOYvAb-CYvtrmn_u_vwJqqSeZmfYFfwy_xvhO0_rBx4ZV30nKoD0JvOhhFw02UnpnOqyXQHRZKrsmS9eo5YYzADx_we9Nz_oR5a8ekRPkuwcvS94PLnWUK8zCRntjpo_zd7HhWOLp6t5q_rV-ncYrnbbZ4mfze_3aG1,0,ChIJfa1hw2v34joRaa12qe68Fb4
Willys Safari,"No.252/2, B470, Sri Jayawardenepura Kotte, Sri Lanka","point_of_interest, establishment",look,AUacShhhv9WhotCU9PJMRLdqMpu6f7mmRZ6a3VNYCAfq-pg1sXIgUxAkqbs8azmWVIcFXSPS13zj3TzrnaeknHr75LeICy5F2bqvnbsynENizubUbxXE9swHtmuIaPPepPPqFJrmND82sOmf2urOFay7rNeBetGcOpGBM34hn3-KbOYZcZUJ,1,ChIJ-b7NwTpa4joRAWKvNtjSthg
Safari Lanka,"No 1 Pereira Ln, Colombo, Sri Lanka","travel_agency, point_of_interest, establishment",look,,0,ChIJE5dF6Qdb4joRgj5AmcJOq_g
Best Safari Sri Lanka,"Keppetipola Rd, Kolonnawa 00500, Sri Lanka","point_of_interest, establishment",look,,0,ChIJpw5TrNdb4joRcArd3zKvCRA
Tuk Tuk Safari Sri Lanka,"103A Railway Ave, Nugegoda 00500, Sri Lanka","point_of_interest, establishment",look,AUacShjgmxn1nDl0jMgh8D_K3DC9-olaQtSAx2Xd08MF5vz6zfAiJFpCy6VRfDb__33sAQOY8HgIGnK_t3WSo-9kvNv8pFqv_VfOkhY77VXkAp_-McrnWhFtBXvynlKzF7CPaLE0nge7E4OibMoxA9t1VL29msGE2CSsWRJSOTtK_ao1C9O7,40,ChIJ3xTXA1pa4joRIUktGs-C8Kc
Safari Travels and Tours,"WV6P+M9G, Colombo, Sri Lanka","point_of_interest, establishment",look,,0,ChIJvUSSf55Z4joRcqHOqnEuVCo
Hiran,"VVCX+RJC, 6th Ln, Nugegoda, Sri Lanka","zoo, point_of_interest, establishment",look,,1,ChIJgdiDNt5b4joR8yu4dROAgrA
Safari Village Hotel,"33 Amarasekara Mawatha, Colombo 00500, Sri Lanka","lodging, point_of_interest, establishment",look,AUacShiCPkBx-ksc3mCiQcuI-ea3_Op7vx43YWl5-hyy9i3vv6_SCjFdAmUOXQmsvSvWeKjgeGNaxZWp_1CKCEQhoYDaTkmx31l48UHX_eqpwEs8XAbcrJkHTEv-GI5mPX2zAE6usxKzLpr4-g3atbJSoDhi2GIdSDkMGoqhq0q5EBCcgf5P,1,ChIJPTzw_s5b4joR5RGqFx4voQc
Yala Pearl Safari Tours,"2/8 Gunawardana Mawatha, Lake Road, තිස්සමහාරාමය 82600, Sri Lanka","travel_agency, point_of_interest, establishment",look,AUacShj_s6Ug5l8-DoWiDtj6KLA5wwXsHjfjBXgQquoGiYYo3Yel8Oh6LkvEiT1EQUEPFnckbJJGkNOtlRInJM2V_H9UOlRk6UW9NHFWt0gMhYmVTjgiL0Ku3VmanFcrgZalPVI05xxeDv6bYo6h5QZLCYIvhiYLNOF6bwOpOLyLNgiv3vnG,2,ChIJh9iMCHlb4joRcB0ITPNQSfw
Safari Com,"339 Jumma Masjid Rd, Colombo 01000, Sri Lanka","point_of_interest, establishment",look,,1,ChIJw5mY9gBZ4joRWEy-usjm52Q
"Go4Safari aka ""Go for Safari""","17/9 Koswatta Rd, Sri Jayawardenepura Kotte 10107, Sri Lanka","travel_agency, point_of_interest, establishment",look,,3,ChIJw0hnjYpZ4joR5TGCgVDGieE
Royal Safari Travels & Tours (Pvt) Ltd,Sri Lanka,"point_of_interest, establishment",look,,0,ChIJSe-WcZFZ4joRcZm1qQe0YN4
Blaze Tuk Tuk Safari,"Bank of Ceylon, Road, Colombo 00100, Sri Lanka","point_of_interest, establishment",look,AUacShgW4okQAlUV7ye-8fScd4ADUjSx3xy3n2Kcsd0u0uML2Q11UqHd4jzuUyx3mXvFVyIC_gm72ZP3DQExR5frV96R9DkeqPa1IIw6-fXy43VyHzZRSIT6qt3XASmxhlxXG-wdRsdOc-qwwRB6Dx3I4iBz9JOQOIfTV794CZAVxiI7OwhH,25,ChIJI3NeKN1Z4joRhA3IxsKGKKc
Ceylon Safari Holidays (pvt) Ltd,"56 St Rita's Rd, Dehiwala-Mount Lavinia, Sri Lanka","travel_agency, point_of_interest, establishment",look,,0,ChIJS4JI_pxb4joR3LGiCTPgn5o
Sea & safari,"225/1 , Elen Egoda, Negombo, Sri Lanka","lodging, point_of_interest, establishment",look,AUacShgdJOWt7I19sk2JIZZNrUOB0MduKdM0N116CjGsyDnGvWrMaBswbuhMbmIR3fGAsizolXVaPUKrtHOcLc4sczUUoCNsU5eVzMu2KyGYiIJ7FH-Ci7CGYoqUTd_ufSBMf4Fa037GW8X1hjF2Mt1tFtYBNE_4pqVZrpUNuUGZ0YRm200B,9,ChIJpe6Td27x4joRXd2fXn-t0b0
Safari Car Center,"VVJX+2R3, Nugegoda 10100, Sri Lanka","car_wash, point_of_interest, establishment",look,AUacShhnZiPwCQ8GAPMvdZvpeAJnXE6bPUaukBoz1e8fIwnr7tN5we5m5Keoiy1cXFvFmNHLsJ-iBHdJnMx-qLOuelgZpJof82Padr6f11n-l_5zKVF5o6WRtq9hAlEv2o3s_W_v_NHke2By5oe4N-c07B8A6sEn1QnIjGvGyu7TEEDI2fjw,53,ChIJMz4XHRVa4joRDkvkoO_kMfQ
BigThree Safari,"29/9 kanaththa road, Nugegoda, Sri Lanka","point_of_interest, establishment",look,AUacShgpj1XYqnprxxehAACD6kndfo6xSsW-XiL_SmCfe8hyyZoJJ_1SPtBfDwBkMZnvv21Gc374RZCUl7jI77n5yaz93mZKg-si9ZUHVttig0v-T3JWg8mY2KMjma5QO8ZDdKA_XZlcysXOEyf29QYqaaBPChl7CS1080CNByKoN_GvGZtI,2,ChIJhRg3u3da4joRvTWwF24Vbsw
GoLanka Safari,"4A, 1/1 Senanayake Pl, Dehiwala-Mount Lavinia 10350, Sri Lanka","travel_agency, point_of_interest, establishment",look,AUacShhL33Kr5qmaSWw0JzqHtFAFw48fWjP1DIR6ZH7OJNrR720fX_u0iFyf0XHEwpdoFCCbOvGr5eeKcp_eD5jINF544GyDtrHgu1gAW6Wfsnm94oMXGkCj2diG3wkGCOXWmkPk9FuGQyv1Ct95IKGy-klKmWSJZaxn-Hq-9D5YnHHDb3cv,0,ChIJp-bw-ANb4joRpvzyod0bBvY
