name,address,type,leisure_ype,photo_reference,rating,place_id
Sudath Handicraft,"Jana Jaya City Mall Rajagiriya ( JJC MALL, Jinadasa Niyathapala Mawatha, Sri Jayawardenepura Kotte 10107, Sri Lanka","store, point_of_interest, establishment",shop,AUacShj5Pigm4zFRxgkX9_NjFv_ZD2jr8f1l4rHnzm62G05Yy5_l90ItxMifOvzic5rnZ9Q7Pw71GrCfNAfo9nPwF2scL4SSJgYh3RtG81EPsmL3SJIs4Yigs62VZDEzCcJ09HTqsgeM6FOLWfeGxcS6LQcD9g7v7uaiCKcavUSU3Ym7m7nV,6,ChIJDxoqfYhZ4joRGPfnrdWWasw
Handloom Gallery Kotte,"No.825, Sri Jayawardenepura Kotte, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShgKQ64H0O_Z8TjjatuIhDiwMiZnCTq9Bo18AUtndr26LWfZtsYho-FP3d6tPr17h5OX-otKmfkWG1ZUCjeLRD0lFar5zWHQStJANf6hVQcuh-j_oEeX944Qduu06BgJTC8Z_ESDrsixK97SGyRlC8c1EVs9glSfNhb1l_4XdSeVugxg,197,ChIJ4SMf0fdZ4joRmElkXbHlC38
HB Gallery Handloom Shop and Batik Shop,"5/1, No: 542, Kandy Rd, Kadawatha 11850, Sri Lanka","clothing_store, shoe_store, home_goods_store, store, point_of_interest, establishment",shop,AUacShjR5HgDBVUsV95xs_5BHll17tdOCh5qNkgsjQ46wjKCtNRBHze1LB57J2IRPWI4J-3pR4_qY4H2Fa67N1lwmkbRx8Ekr_OP6M9BkN6eTPkjCABd0bNqLiDXjqc7U0tjOhWiqHGwh72SuuqHH5yqe79rdWvcIVGzKnQIgPthlPrSFfT-,49,ChIJEcEmA0b54joRgf2JzUXwtlY
AF Handlooms,"28, Horana Road, Pinhena, Kottawa 10320, Sri Lanka","shopping_mall, point_of_interest, establishment",shop,AUacShjV-j1cLOK97tOYOcgf-lOWx9LtIpkNs3ZHk1BFT-kHJaJ_hrgk5GZMCyu0dUrthr1lGZbQsErAlz3B8c3Hm9tIjUNrlQN-IqaaGi8BJjqoh8LIRPlOgg1NdvEX1deFbUwcZ4vOPEeavQpJtsboqiYZKeZjnJSG69no9nhstPEgLF7F,17,ChIJo864u8xR4joR5dQ-E73_0ew
East Star Handlooms,"173 Old Road, Maharagama 10280, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShjGO6dhbpn8oDugBbEQgZ236Qa1wIx7wkrLXuvxF3rbWQeB5EdrCsoO-vIgmIEZWOXAVWqPQChOYuXvFZU6gHdl27mF9yigaqPbm-XYMxH0O23ZffesFYp1a10TlsWj8zX_kpsiXZ1Vz_c7TS6mol_TzjJly0kYXRgujlR_0MPyWzl6,108,ChIJgwjKcXBQ4joR-zx-TmvdOaM
Kreation House Of Cotton (Borella),"Borella 213, Castle St, Colombo 00800, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShjWb8OMqqnhbBYjwbmXmcjm6VpnY4djZBmL2x2YRUwqv5R8tx2cHuNLqeOdAtRlXEK0V5Pa8lIbpswzKtmEA3sp-KI7zJj16xxjqBrWyb2MxZlE_Z2jFT4p1HPcH4_YJSzvgjS5rzI2XSZHmZhcuu0XT2BBZlt44SlffiB0toGSeHl5,270,ChIJ6b52a5BZ4joRcgA8-aDMbP4
Kandygs Handlooms,"333 Galle Rd, Colombo, Sri Lanka","clothing_store, furniture_store, home_goods_store, store, point_of_interest, establishment",shop,AUacShjTEAfu3iHaS04NTsL7pl8Hk-aQFkGfEcdiQTiSXJJHNUNy9kWOLjFW8Vx_07ysLt7nv8r7DH6E1zskksB2ZUgPi5berknqxlHH9T7sj-VPI4P_Oy_EBLaHiYhzOIzrVI4fCIRM3z7GP6oefr7RdQzsolrvnnOU9CniGxV7HaR_R_Q,23,ChIJNf8kg11Z4joRrhtyyvALUD8
Craft Lanka,"WW2G+MX5, Denzil Kobbekaduwa Mawatha, Battaramulla, Sri Lanka","store, point_of_interest, establishment",shop,no photo,7,ChIJPYlUHFNX4joRczwoJ8b_imw
East Star Handlooms,"One Galle Face , Level 05, Unit 20, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShgknUDJlk1gTSDKDWMUZRMwleF6wmLG_FHpXfdev5KuP4fGtTbdmvyUM1APvu9jJXagAFfEHPfBF7nzaBBxpotEtG5Ima1tjLk2LIUyfUVTeiDRth_kkQZfouexiR8oYJjwY4kyaaJ4fIjTIF6lRCoHWwJTp0KGD2gCW0UPP28uSxc,39,ChIJ78wUVttb4joRN3HRns1pxVk
"Handloom Gallery, Battaramulla","57/4 Main St, Battaramulla 10120, Sri Lanka","point_of_interest, establishment",shop,AUacShicA1GVk7DLnsGOQ0pI2WbmQNTIJPw0-Mpt3WoP_X2nkL5rm3cKBa_zBmO-WoXa7Jcvbkq1Cm8EbW6xafrI7HFOx3RgdxvxAZG_-wYJQhfNqOnTQBkwZF0T7g02BKSazRW-9qoOe8bQVvhmeBlGgYjNTSznOt4FLSis72-C5L4Plg7D,81,ChIJB0EY1v5Z4joRfu-VdpHT3Bg
